DATE,LPMVTVJ
31 Jan 2015,1780
28 Feb 2015,1816
31 Mar 2015,2147
30 Apr 2015,2189
31 May 2015,2745
30 Jun 2015,2745
31 Jul 2015,3212
31 Aug 2015,3607
30 Sep 2015,3689
31 Oct 2015,3768
30 Nov 2015,3879
31 Dec 2015,3392
31 Jan 2016,3807
29 Feb 2016,3602
31 Mar 2016,7147
30 Apr 2016,712
31 May 2016,2869
30 Jun 2016,3154
31 Jul 2016,3039
31 Aug 2016,3032
30 Sep 2016,3071
31 Oct 2016,3231
30 Nov 2016,2871
31 Dec 2016,3896
31 Jan 2017,3744
28 Feb 2017,3857
31 Mar 2017,3710
30 Apr 2017,3207
31 May 2017,4083
30 Jun 2017,4074
31 Jul 2017,3795
31 Aug 2017,4174
30 Sep 2017,3821
31 Oct 2017,3616
30 Nov 2017,3928
31 Dec 2017,3776
31 Jan 2018,3619
28 Feb 2018,3851
31 Mar 2018,3346
30 Apr 2018,3761
31 May 2018,3917
30 Jun 2018,3971
31 Jul 2018,3696
31 Aug 2018,3576
30 Sep 2018,4020
31 Oct 2018,3899
30 Nov 2018,3391
31 Dec 2018,3677
31 Jan 2019,3671
28 Feb 2019,3505
31 Mar 2019,4042
30 Apr 2019,4245
31 May 2019,2999
30 Jun 2019,4027
31 Jul 2019,5003
31 Aug 2019,4158
30 Sep 2019,4011
31 Oct 2019,4744
30 Nov 2019,4314
31 Dec 2019,4666
31 Jan 2020,4428
29 Feb 2020,4644
31 Mar 2020,4892
30 Apr 2020,196
31 May 2020,182
30 Jun 2020,1962
31 Jul 2020,2753
31 Aug 2020,3171
30 Sep 2020,5168
31 Oct 2020,5165
30 Nov 2020,6931
31 Dec 2020,6573
31 Jan 2021,6257
28 Feb 2021,7956
31 Mar 2021,11510
30 Apr 2021,3162
31 May 2021,4502
30 Jun 2021,17136
31 Jul 2021,-1850
31 Aug 2021,4253
30 Sep 2021,9506
31 Oct 2021,1595
30 Nov 2021,3580
31 Dec 2021,4169
31 Jan 2022,6313
28 Feb 2022,5237
31 Mar 2022,7366
30 Apr 2022,4205
31 May 2022,6416
30 Jun 2022,5082
31 Jul 2022,4292
31 Aug 2022,5246
30 Sep 2022,5204
31 Oct 2022,3009
30 Nov 2022,3308
31 Dec 2022,2048
31 Jan 2023,2303
28 Feb 2023,882
31 Mar 2023,254
30 Apr 2023,-1048
31 May 2023,-85
30 Jun 2023,4
31 Jul 2023,150
31 Aug 2023,1083
30 Sep 2023,-1292
31 Oct 2023,428
30 Nov 2023,293
31 Dec 2023,-566
31 Jan 2024,-584
29 Feb 2024,1839
31 Mar 2024,427
30 Apr 2024,2337
31 May 2024,1187
30 Jun 2024,2470
31 Jul 2024,2555
31 Aug 2024,2713
30 Sep 2024,2221
31 Oct 2024,3584
30 Nov 2024,2411
31 Dec 2024,3381
31 Jan 2025,5047
28 Feb 2025,3816
31 Mar 2025,13415
30 Apr 2025,-675
31 May 2025,2076
30 Jun 2025,5208
31 Jul 2025,4391
31 Aug 2025,4319
30 Sep 2025,5216
31 Oct 2025,4224
30 Nov 2025,4498
31 Dec 2025,4492
31 Jan 2026,4076
